Date,Hour,Value
20180407,2100,40
20180407,2200,46
20180407,2300,25
20180408,0,38
20180408,100,31
20180408,200,34
20180408,300,72
20180408,400,25
20180408,500,24
20180408,600,19
20180408,700,97
20180408,800,98
20180408,900,25
20180408,1000,19
20180408,1100,53
20180408,1200,41
20180408,1300,49
20180408,1400,31
20180408,1500,60
20180408,1600,70
20180408,1700,87
20180408,1800,24
20180408,1900,40
20180408,2000,11
20180408,2100,80
20180408,2200,78
20180408,2300,0
20180409,0,31
20180409,100,14
20180409,200,14
20180409,300,10
20180409,400,5
20180409,500,15
20180409,600,59
20180409,700,94
20180409,800,17
20180409,900,90
20180409,1000,68
20180409,1100,95
20180409,1200,15
20180409,1300,28
20180409,1400,45
20180409,1500,93
20180409,1600,58
20180409,1700,89
20180409,1800,77
20180409,1900,98
20180409,2000,87
20180409,2100,61
20180409,2200,52
20180409,2300,35
20180410,0,76
20180410,100,41
20180410,200,60
20180410,300,66
20180410,400,17
20180410,500,42
20180410,600,74
20180410,700,58
20180410,800,50
20180410,900,37
20180410,1000,44
20180410,1100,77
20180410,1200,68
20180410,1300,22
20180410,1400,98
20180410,1500,77
20180410,1600,88
20180410,1700,38
20180410,1800,72
20180410,1900,0
20180410,2000,98
20180410,2100,92
20180410,2200,32
20180410,2300,96
20180411,0,85
20180411,100,13
20180411,200,88
20180411,300,52
20180411,400,95
20180411,500,98
20180411,600,70
20180411,700,77
20180411,800,99
20180411,900,58
20180411,1000,8
20180411,1100,16
20180411,1200,86
20180411,1300,85
20180411,1400,38
20180411,1500,81
20180411,1600,12
20180411,1700,38
20180411,1800,39
20180411,1900,98
20180411,2000,72
20180411,2100,7
20180411,2200,13
20180411,2300,70
20180412,0,22
20180412,100,42
20180412,200,83
20180412,300,81
20180412,400,35
20180412,500,8
20180412,600,81
20180412,700,8
20180412,800,55
20180412,900,42
20180412,1000,64
20180412,1100,57
20180412,1200,95
20180412,1300,13
20180412,1400,22
20180412,1500,23
20180412,1600,10
20180412,1700,1
20180412,1800,8
20180412,1900,79
20180412,2000,28
20180412,2100,67
20180412,2200,43
20180412,2300,77
20180413,0,88
20180413,100,63
20180413,200,77
20180413,300,77
20180413,400,91
20180413,500,8
20180413,600,33
20180413,700,67
20180413,800,38
20180413,900,9
20180413,1000,72
20180413,1100,48
20180413,1200,0
20180413,1300,10
20180413,1400,89
20180413,1500,57
20180413,1600,31
20180413,1700,78
20180413,1800,10
20180413,1900,11
20180413,2000,6
20180413,2100,0
20180413,2200,68
20180413,2300,31
20180414,0,53
20180414,100,31
20180414,200,42
20180414,300,80
20180414,400,74
20180414,500,84
20180414,600,95
20180414,700,18
20180414,800,50
20180414,900,26
20180414,1000,91
20180414,1100,64
20180414,1200,84
20180414,1300,39
20180414,1400,54
20180414,1500,2
20180414,1600,54
20180414,1700,59
20180414,1800,10
20180414,1900,42
20180414,2000,54
20180414,2100,12
20180414,2200,45
20180414,2300,37
20180415,0,96
20180415,100,87
20180415,200,21
20180415,300,98
20180415,400,80
20180415,500,69
20180415,600,14
20180415,700,69
20180415,800,94
20180415,900,71
20180415,1000,90
20180415,1100,31
20180415,1200,45
20180415,1300,32
20180415,1400,51
20180415,1500,90
20180415,1600,61
20180415,1700,92
20180415,1800,61
20180415,1900,64
20180415,2000,67
20180415,2100,69
20180415,2200,75
20180415,2300,52
20180416,0,16
20180416,100,64
20180416,200,99
20180416,300,91
20180416,400,21
20180416,500,34
20180416,600,98
20180416,700,44
20180416,800,90
20180416,900,68
20180416,1000,61
20180416,1100,48
20180416,1200,89
20180416,1300,6
20180416,1400,73
20180416,1500,76
20180416,1600,86
20180416,1700,67
20180416,1800,19
20180416,1900,67
20180416,2000,80
20180416,2100,74
20180416,2200,88
20180416,2300,79
20180417,0,33
20180417,100,19
20180417,200,18
20180417,300,17
20180417,400,57
20180417,500,29
20180417,600,53
20180417,700,52
20180417,800,69
20180417,900,42
20180417,1000,86
20180417,1100,2
20180417,1200,24
20180417,1300,53
20180417,1400,78
20180417,1500,10
20180417,1600,92
20180417,1700,11
20180417,1800,44
20180417,1900,47
20180417,2000,97
20180417,2100,15
20180417,2200,80
20180417,2300,11
20180418,0,8
20180418,100,86
20180418,200,6
20180418,300,10
20180418,400,37
20180418,500,1
20180418,600,74
20180418,700,8
20180418,800,5
20180418,900,34
20180418,1000,26
20180418,1100,59
20180418,1200,14
20180418,1300,36
20180418,1400,52
20180418,1500,30
20180418,1600,44
20180418,1700,3
20180418,1800,40
20180418,1900,54
20180418,2000,15
20180418,2100,50
20180418,2200,4
20180418,2300,90
20180419,0,61
20180419,100,62
20180419,200,92
20180419,300,2
20180419,400,1
20180419,500,36
20180419,600,69
20180419,700,68
20180419,800,29
20180419,900,51
20180419,1000,17
20180419,1100,17
20180419,1200,93
20180419,1300,49
20180419,1400,81
20180419,1500,58
20180419,1600,41
20180419,1700,62
20180419,1800,31
20180419,1900,54
20180419,2000,3
20180419,2100,92
20180419,2200,74
20180419,2300,13
20180420,0,90
20180420,100,89
20180420,200,12
20180420,300,83
20180420,400,98
20180420,500,22
20180420,600,82
20180420,700,60
20180420,800,54
20180420,900,42
20180420,1000,68
20180420,1100,6
20180420,1200,28
20180420,1300,96
20180420,1400,54
20180420,1500,95
20180420,1600,64
20180420,1700,3
20180420,1800,11
20180420,1900,72
20180420,2000,1
20180420,2100,55
20180420,2200,74
20180420,2300,95
20180421,0,1
20180421,100,54
20180421,200,89
20180421,300,18
20180421,400,8
20180421,500,82
20180421,600,87
20180421,700,25
20180421,800,28
20180421,900,94
20180421,1000,98
20180421,1100,41
20180421,1200,21
20180421,1300,68
20180421,1400,25
20180421,1500,28
20180421,1600,66
20180421,1700,89
20180421,1800,19
20180421,1900,34
20180421,2000,90
20180421,2100,29
20180421,2200,61
20180421,2300,56
20180422,0,54
20180422,100,47
20180422,200,73
20180422,300,72
20180422,400,93
20180422,500,11
20180422,600,6
20180422,700,44
20180422,800,0
20180422,900,19
20180422,1000,94
20180422,1100,96
20180422,1200,41
20180422,1300,80
20180422,1400,43
20180422,1500,51
20180422,1600,20
20180422,1700,0
20180422,1800,82
20180422,1900,54
20180422,2000,17
20180422,2100,16
20180422,2200,44
20180422,2300,73
20180423,0,68
20180423,100,58
20180423,200,15
20180423,300,5
20180423,400,9
20180423,500,11
20180423,600,62
20180423,700,74
20180423,800,85
20180423,900,33
20180423,1000,79
20180423,1100,39
20180423,1200,16
20180423,1300,42
20180423,1400,92
20180423,1500,52
20180423,1600,46
20180423,1700,3
20180423,1800,22
20180423,1900,17
20180423,2000,20
20180423,2100,38
20180423,2200,17
20180423,2300,39
20180424,0,93
20180424,100,84
20180424,200,44
20180424,300,42
20180424,400,93
20180424,500,58
20180424,600,98
20180424,700,89
20180424,800,18
20180424,900,46
20180424,1000,62
20180424,1100,82
20180424,1200,15
20180424,1300,73
20180424,1400,21
20180424,1500,22
20180424,1600,43
20180424,1700,45
20180424,1800,40
20180424,1900,41
20180424,2000,20
20180424,2100,60
20180424,2200,89
20180424,2300,24
20180425,0,46
20180425,100,95
20180425,200,53
20180425,300,8
20180425,400,59
20180425,500,83
20180425,600,31
20180425,700,4
20180425,800,74
20180425,900,70
20180425,1000,1
20180425,1100,5
20180425,1200,88
20180425,1300,80
20180425,1400,86
20180425,1500,12
20180425,1600,61
20180425,1700,45
20180425,1800,3
20180425,1900,9
20180425,2000,92
20180425,2100,16
20180425,2200,1
20180425,2300,23
20180426,0,76
20180426,100,18
20180426,200,11
20180426,300,48
20180426,400,0
20180426,500,69
20180426,600,40
20180426,700,76
20180426,800,86
20180426,900,33
20180426,1000,18
20180426,1100,44
20180426,1200,77
20180426,1300,37
20180426,1400,52
20180426,1500,32
20180426,1600,59
20180426,1700,8
20180426,1800,34
20180426,1900,5
20180426,2000,88
20180426,2100,7
20180426,2200,98
20180426,2300,94
20180427,0,89
20180427,100,66
20180427,200,43
20180427,300,65
20180427,400,10
20180427,500,39
20180427,600,83
20180427,700,96
20180427,800,90
20180427,900,17
20180427,1000,24
20180427,1100,82
20180427,1200,80
20180427,1300,78
20180427,1400,52
20180427,1500,15
20180427,1600,32
20180427,1700,82
20180427,1800,4
20180427,1900,27
20180427,2000,14
20180427,2100,95
20180427,2200,67
20180427,2300,67
20180428,0,4
20180428,100,66
20180428,200,92
20180428,300,77
20180428,400,32
20180428,500,31
20180428,600,4
20180428,700,95
20180428,800,66
20180428,900,78
20180428,1000,53
20180428,1100,66
20180428,1200,89
20180428,1300,56
20180428,1400,62
20180428,1500,98
20180428,1600,50
20180428,1700,63
20180428,1800,70
20180428,1900,6
20180428,2000,54
20180428,2100,66
20180428,2200,97
20180428,2300,99
20180429,0,96
20180429,100,15
20180429,200,57
20180429,300,48
20180429,400,95
20180429,500,96
20180429,600,16
20180429,700,60
20180429,800,78
20180429,900,99
20180429,1000,93
20180429,1100,13
20180429,1200,49
20180429,1300,22
20180429,1400,96
20180429,1500,71
20180429,1600,86
20180429,1700,83
20180429,1800,14
20180429,1900,4
20180429,2000,15
20180429,2100,38
20180429,2200,77
20180429,2300,19
20180430,0,25
20180430,100,33
20180430,200,48
20180430,300,10
20180430,400,52
20180430,500,6
20180430,600,46
20180430,700,98
20180430,800,28
20180430,900,52
20180430,1000,0
20180430,1100,6
20180430,1200,48
20180430,1300,59
20180430,1400,70
20180430,1500,88
20180430,1600,76
20180430,1700,66
20180430,1800,26
20180430,1900,41
20180430,2000,97
20180430,2100,9
20180430,2200,22
20180430,2300,86
20180501,0,93
20180501,100,96
20180501,200,32
20180501,300,28
20180501,400,25
20180501,500,78
20180501,600,98
20180501,700,64
20180501,800,59
20180501,900,68
20180501,1000,72
20180501,1100,87
20180501,1200,71
20180501,1300,27
20180501,1400,65
20180501,1500,44
20180501,1600,40
20180501,1700,72
20180501,1800,4
20180501,1900,40
20180501,2000,41
20180501,2100,13
20180501,2200,51
20180501,2300,52
20180502,0,94
20180502,100,44
20180502,200,36
20180502,300,87
20180502,400,40
20180502,500,50
20180502,600,61
20180502,700,31
20180502,800,41
20180502,900,65
20180502,1000,85
20180502,1100,37
20180502,1200,81
20180502,1300,77
20180502,1400,90
20180502,1500,32
20180502,1600,54
20180502,1700,13
20180502,1800,75
20180502,1900,95
20180502,2000,70
20180502,2100,76
20180502,2200,28
20180502,2300,22
20180503,0,44
20180503,100,0
20180503,200,7
20180503,300,56
20180503,400,10
20180503,500,5
20180503,600,82
20180503,700,41
20180503,800,87
20180503,900,48
20180503,1000,63
20180503,1100,20
20180503,1200,2
20180503,1300,76
20180503,1400,86
20180503,1500,59
20180503,1600,37
20180503,1700,55
20180503,1800,60
20180503,1900,90
20180503,2000,83
20180503,2100,19
20180503,2200,2
20180503,2300,60
20180504,0,65
20180504,100,85
20180504,200,61
20180504,300,9
20180504,400,70
20180504,500,90
20180504,600,42
20180504,700,25
20180504,800,54
20180504,900,72
20180504,1000,21
20180504,1100,82
20180504,1200,52
20180504,1300,52
20180504,1400,3
20180504,1500,9
20180504,1600,21
20180504,1700,33
20180504,1800,51
20180504,1900,67
20180504,2000,59
20180504,2100,76
20180504,2200,45
20180504,2300,35
20180505,0,9
20180505,100,9
20180505,200,15
20180505,300,39
20180505,400,82
20180505,500,93
20180505,600,81
20180505,700,27
20180505,800,5
20180505,900,95
20180505,1000,5
20180505,1100,8
20180505,1200,50
20180505,1300,94
20180505,1400,20
20180505,1500,7
20180505,1600,85
20180505,1700,6
20180505,1800,28
20180505,1900,75
20180505,2000,29
20180505,2100,35
20180505,2200,41
20180505,2300,7
20180506,0,55
20180506,100,34
20180506,200,94
20180506,300,84
20180506,400,2
20180506,500,53
20180506,600,57
20180506,700,97
20180506,800,87
20180506,900,20
20180506,1000,10
20180506,1100,72
20180506,1200,78
20180506,1300,79
20180506,1400,3
20180506,1500,2
20180506,1600,41
20180506,1700,3
20180506,1800,53
20180506,1900,14
20180506,2000,52
20180506,2100,98
20180506,2200,70
20180506,2300,78
20180507,0,5
20180507,100,1
20180507,200,87
20180507,300,46
20180507,400,2
20180507,500,26
20180507,600,74
20180507,700,42
20180507,800,64
20180507,900,81
20180507,1000,33
20180507,1100,32
20180507,1200,15
20180507,1300,38
20180507,1400,66
20180507,1500,91
20180507,1600,49
20180507,1700,94
20180507,1800,54
20180507,1900,49
20180507,2000,30
20180507,2100,58
20180507,2200,36
20180507,2300,53
20180508,0,14
20180508,100,33
20180508,200,57
20180508,300,52
20180508,400,58
20180508,500,38
20180508,600,35
20180508,700,12
20180508,800,60
20180508,900,24
20180508,1000,98
20180508,1100,8
20180508,1200,8
20180508,1300,94
20180508,1400,41
20180508,1500,58
20180508,1600,7
20180508,1700,39
20180508,1800,44
20180508,1900,42
20180508,2000,23
20180508,2100,58
20180508,2200,5
20180508,2300,92
20180509,0,62
20180509,100,27
20180509,200,49
20180509,300,43
20180509,400,10
20180509,500,34
20180509,600,79
20180509,700,46
20180509,800,41
20180509,900,35
20180509,1000,42
20180509,1100,85
20180509,1200,43
20180509,1300,27
20180509,1400,10
20180509,1500,60
20180509,1600,19
20180509,1700,99
20180509,1800,46
20180509,1900,80
20180509,2000,89
20180509,2100,70
20180509,2200,22
20180509,2300,35
20180510,0,54
20180510,100,53
20180510,200,16
20180510,300,33
20180510,400,85
20180510,500,92
20180510,600,21
20180510,700,86
20180510,800,72
20180510,900,36
20180510,1000,48
20180510,1100,83
20180510,1200,27
20180510,1300,9
20180510,1400,11
20180510,1500,39
20180510,1600,97
20180510,1700,85
20180510,1800,1
20180510,1900,61
20180510,2000,9
20180510,2100,51
20180510,2200,36
20180510,2300,41
20180511,0,28
20180511,100,22
20180511,200,5
20180511,300,73
20180511,400,50
20180511,500,68
20180511,600,20
20180511,700,39
20180511,800,38
20180511,900,6
20180511,1000,18
20180511,1100,62
20180511,1200,49
20180511,1300,85
20180511,1400,27
20180511,1500,70
20180511,1600,34
20180511,1700,76
20180511,1800,93
20180511,1900,36
20180511,2000,9
20180511,2100,21
20180511,2200,0
20180511,2300,34
20180512,0,13
20180512,100,21
20180512,200,22
20180512,300,35
20180512,400,53
20180512,500,80
20180512,600,1
20180512,700,96
20180512,800,93
20180512,900,76
20180512,1000,79
20180512,1100,78
20180512,1200,94
20180512,1300,53
20180512,1400,3
20180512,1500,27
20180512,1600,19
20180512,1700,81
20180512,1800,69
20180512,1900,40
20180512,2000,78
20180512,2100,0
20180512,2200,4
20180512,2300,84
20180513,0,77
20180513,100,9
20180513,200,40
20180513,300,40
20180513,400,1
20180513,500,93
20180513,600,66
20180513,700,35
20180513,800,48
20180513,900,75
20180513,1000,98
20180513,1100,51
20180513,1200,96
20180513,1300,43
20180513,1400,9
20180513,1500,19
20180513,1600,92
20180513,1700,56
20180513,1800,85
20180513,1900,75
20180513,2000,7
20180513,2100,30
20180513,2200,0
20180513,2300,80
20180514,0,14
20180514,100,55
20180514,200,72
20180514,300,72
20180514,400,17
20180514,500,1
20180514,600,29
20180514,700,46
20180514,800,51
20180514,900,10
20180514,1000,32
20180514,1100,57
20180514,1200,60
20180514,1300,39
20180514,1400,26
20180514,1500,14
20180514,1600,93
20180514,1700,44
20180514,1800,57
20180514,1900,96
20180514,2000,52
20180514,2100,12
20180514,2200,82
20180514,2300,92
20180515,0,54
20180515,100,81
20180515,200,71
20180515,300,49
20180515,400,77
20180515,500,47
20180515,600,56
20180515,700,60
20180515,800,89
20180515,900,35
20180515,1000,62
20180515,1100,28
20180515,1200,98
20180515,1300,82
20180515,1400,17
20180515,1500,66
20180515,1600,46
20180515,1700,13
20180515,1800,4
20180515,1900,84
20180515,2000,50
20180515,2100,59
20180515,2200,53
20180515,2300,77
20180516,0,16
20180516,100,64
20180516,200,42
20180516,300,57
20180516,400,2
20180516,500,90
20180516,600,34
20180516,700,92
20180516,800,50
20180516,900,26
20180516,1000,85
20180516,1100,96
20180516,1200,24
20180516,1300,80
20180516,1400,56
20180516,1500,12
20180516,1600,1
20180516,1700,35
20180516,1800,17
20180516,1900,85
20180516,2000,12
20180516,2100,26
20180516,2200,95
20180516,2300,70
20180517,0,24
20180517,100,6
20180517,200,84
20180517,300,2
20180517,400,47
20180517,500,18
20180517,600,41
20180517,700,46
20180517,800,81
20180517,900,78
20180517,1000,98
20180517,1100,30
20180517,1200,91
20180517,1300,22
20180517,1400,17
20180517,1500,28
20180517,1600,54
20180517,1700,86
20180517,1800,55
20180517,1900,3
20180517,2000,61
20180517,2100,90
20180517,2200,17
20180517,2300,91
20180518,0,81
20180518,100,12
20180518,200,14
20180518,300,29
20180518,400,92
20180518,500,72
20180518,600,84
20180518,700,94
20180518,800,62
20180518,900,52
20180518,1000,69
20180518,1100,94
20180518,1200,99
20180518,1300,5
20180518,1400,15
20180518,1500,45
20180518,1600,47
20180518,1700,95
20180518,1800,11
20180518,1900,39
20180518,2000,25
20180518,2100,39
20180518,2200,20
20180518,2300,84
20180519,0,68
20180519,100,9
20180519,200,84
20180519,300,61
20180519,400,91
20180519,500,82
20180519,600,30
20180519,700,72
20180519,800,87
20180519,900,81
20180519,1000,14
20180519,1100,98
20180519,1200,60
20180519,1300,79
20180519,1400,21
20180519,1500,21
20180519,1600,1
20180519,1700,49
20180519,1800,87
20180519,1900,51
20180519,2000,71
20180519,2100,84
20180519,2200,91
20180519,2300,96
20180520,0,94
20180520,100,28
20180520,200,30
20180520,300,49
20180520,400,33
20180520,500,14
20180520,600,40
20180520,700,4
20180520,800,1
20180520,900,73
20180520,1000,3
20180520,1100,62
20180520,1200,71
20180520,1300,73
20180520,1400,79
20180520,1500,90
20180520,1600,97
20180520,1700,79
20180520,1800,92
20180520,1900,53
20180520,2000,77
20180520,2100,89
20180520,2200,72
20180520,2300,99
20180521,0,83
20180521,100,8
20180521,200,30
20180521,300,36
20180521,400,79
20180521,500,64
20180521,600,97
20180521,700,93
20180521,800,84
20180521,900,53
20180521,1000,87
20180521,1100,44
20180521,1200,68
20180521,1300,10
20180521,1400,50
20180521,1500,38
20180521,1600,40
20180521,1700,26
20180521,1800,24
20180521,1900,15
20180521,2000,13
20180521,2100,60
20180521,2200,22
20180521,2300,25
20180522,0,89
20180522,100,2
20180522,200,13
20180522,300,20
20180522,400,27
20180522,500,56
20180522,600,9
20180522,700,84
20180522,800,30
20180522,900,58
20180522,1000,35
20180522,1100,18
20180522,1200,91
20180522,1300,54
20180522,1400,87
20180522,1500,87
20180522,1600,3
20180522,1700,3
20180522,1800,91
20180522,1900,26
20180522,2000,89
20180522,2100,10
20180522,2200,95
20180522,2300,14
20180523,0,8
20180523,100,39
20180523,200,98
20180523,300,43
20180523,400,50
20180523,500,60
20180523,600,47
20180523,700,23
20180523,800,61
20180523,900,45
20180523,1000,96
20180523,1100,32
20180523,1200,77
20180523,1300,91
20180523,1400,5
20180523,1500,83
20180523,1600,43
20180523,1700,69
20180523,1800,99
20180523,1900,58
20180523,2000,57
20180523,2100,34
20180523,2200,66
20180523,2300,2
20180524,0,90
20180524,100,98
20180524,200,50
20180524,300,95
20180524,400,97
20180524,500,91
20180524,600,28
20180524,700,44
20180524,800,42
20180524,900,21
20180524,1000,31
20180524,1100,35
20180524,1200,38
20180524,1300,67
20180524,1400,40
20180524,1500,45
20180524,1600,75
20180524,1700,98
20180524,1800,12
20180524,1900,53
20180524,2000,44
20180524,2100,99
20180524,2200,4
20180524,2300,8
20180525,0,76
20180525,100,69
20180525,200,85
20180525,300,52
20180525,400,68
20180525,500,97
20180525,600,50
20180525,700,17
20180525,800,58
20180525,900,24
20180525,1000,66
20180525,1100,20
20180525,1200,84
20180525,1300,14
20180525,1400,51
20180525,1500,90
20180525,1600,65
20180525,1700,94
20180525,1800,21
20180525,1900,0
20180525,2000,64
20180525,2100,87
20180525,2200,13
20180525,2300,32
20180526,0,99
20180526,100,87
20180526,200,40
20180526,300,50
20180526,400,2
20180526,500,90
20180526,600,19
20180526,700,96
20180526,800,83
20180526,900,19
20180526,1000,29
20180526,1100,17
20180526,1200,83
20180526,1300,69
20180526,1400,88
20180526,1500,37
20180526,1600,55
20180526,1700,78
20180526,1800,96
20180526,1900,84
20180526,2000,56
20180526,2100,91
20180526,2200,83
20180526,2300,28
20180527,0,74
20180527,100,5
20180527,200,60
20180527,300,9
20180527,400,24
20180527,500,75
20180527,600,90
20180527,700,10
20180527,800,10
20180527,900,58
20180527,1000,79
20180527,1100,11
20180527,1200,88
20180527,1300,79
20180527,1400,51
20180527,1500,50
20180527,1600,27
20180527,1700,87
20180527,1800,3
20180527,1900,47
20180527,2000,6
20180527,2100,5
20180527,2200,19
20180527,2300,40
20180528,0,83
20180528,100,8
20180528,200,55
20180528,300,66
20180528,400,84
20180528,500,4
20180528,600,58
20180528,700,23
20180528,800,5
20180528,900,22
20180528,1000,91
20180528,1100,82
20180528,1200,9
20180528,1300,73
20180528,1400,70
20180528,1500,60
20180528,1600,48
20180528,1700,69
20180528,1800,59
20180528,1900,24
20180528,2000,80
20180528,2100,17
20180528,2200,16
20180528,2300,64
20180529,0,47
20180529,100,77
20180529,200,74
20180529,300,67
20180529,400,54
20180529,500,55
20180529,600,64
20180529,700,8
20180529,800,40
20180529,900,0
20180529,1000,42
20180529,1100,26
20180529,1200,47
20180529,1300,22
20180529,1400,1
20180529,1500,97
20180529,1600,37
20180529,1700,51
20180529,1800,44
20180529,1900,67
20180529,2000,19
20180529,2100,19
20180529,2200,84
20180529,2300,26
20180530,0,62
20180530,100,66
20180530,200,87
20180530,300,92
20180530,400,17
20180530,500,43
20180530,600,48
20180530,700,77
20180530,800,96
20180530,900,21
20180530,1000,60
20180530,1100,98
20180530,1200,52
20180530,1300,77
20180530,1400,2
20180530,1500,88
20180530,1600,50
20180530,1700,89
20180530,1800,47
20180530,1900,78
20180530,2000,26
20180530,2100,64
20180530,2200,88
20180530,2300,85
20180531,0,35
20180531,100,38
20180531,200,83
20180531,300,76
20180531,400,29
20180531,500,92
20180531,600,84
20180531,700,91
20180531,800,95
20180531,900,50
20180531,1000,52
20180531,1100,75
20180531,1200,61
20180531,1300,55
20180531,1400,53
20180531,1500,57
20180531,1600,75
20180531,1700,61
20180531,1800,36
20180531,1900,53
20180531,2000,30
20180531,2100,22
20180531,2200,76
20180531,2300,84
20180601,0,12
20180601,100,53
20180601,200,10
20180601,300,84
20180601,400,82
20180601,500,79
20180601,600,55
20180601,700,28
20180601,800,52
20180601,900,85
20180601,1000,35
20180601,1100,90
20180601,1200,9
20180601,1300,53
20180601,1400,66
20180601,1500,53
20180601,1600,54
20180601,1700,79
20180601,1800,78
20180601,1900,71
20180601,2000,10
20180601,2100,11
20180601,2200,35
20180601,2300,96
20180602,0,70
20180602,100,24
20180602,200,23
20180602,300,24
20180602,400,35
20180602,500,10
20180602,600,33
20180602,700,24
20180602,800,29
20180602,900,45
20180602,1000,82
20180602,1100,87
20180602,1200,19
20180602,1300,57
20180602,1400,31
20180602,1500,7
20180602,1600,76
20180602,1700,20
20180602,1800,54
20180602,1900,54
20180602,2000,96
20180602,2100,64
20180602,2200,89
20180602,2300,10
20180603,0,99
20180603,100,28
20180603,200,52
20180603,300,93
20180603,400,89
20180603,500,39
20180603,600,13
20180603,700,91
20180603,800,52
20180603,900,49
20180603,1000,34
20180603,1100,46
20180603,1200,8
20180603,1300,89
20180603,1400,69
20180603,1500,32
20180603,1600,1
20180603,1700,24
20180603,1800,37
20180603,1900,21
20180603,2000,95
20180603,2100,29
20180603,2200,35
20180603,2300,36
20180604,0,77
20180604,100,93
20180604,200,2
20180604,300,66
20180604,400,55
20180604,500,90
20180604,600,90
20180604,700,77
20180604,800,7
20180604,900,9
20180604,1000,69
20180604,1100,40
20180604,1200,97
20180604,1300,8
20180604,1400,14
20180604,1500,27
20180604,1600,46
20180604,1700,38
20180604,1800,98
20180604,1900,31
20180604,2000,25
20180604,2100,10
20180604,2200,6
20180604,2300,9
20180605,0,93
20180605,100,30
20180605,200,93
20180605,300,67
20180605,400,88
20180605,500,84
20180605,600,20
20180605,700,85
20180605,800,47
20180605,900,69
20180605,1000,52
20180605,1100,77
20180605,1200,14
20180605,1300,42
20180605,1400,22
20180605,1500,31
20180605,1600,26
20180605,1700,38
20180605,1800,15
20180605,1900,8
20180605,2000,53
20180605,2100,47
20180605,2200,84
20180605,2300,44
20180606,0,45
20180606,100,69
20180606,200,89
20180606,300,59
20180606,400,3
20180606,500,19
20180606,600,29
20180606,700,62
20180606,800,56
20180606,900,3
20180606,1000,72
20180606,1100,47
20180606,1200,35
20180606,1300,48
20180606,1400,59
20180606,1500,88
20180606,1600,3
20180606,1700,39
20180606,1800,17
20180606,1900,87
20180606,2000,63
20180606,2100,64
20180606,2200,48
20180606,2300,21
20180607,0,99
20180607,100,25
20180607,200,21
20180607,300,94
20180607,400,58
20180607,500,79
20180607,600,67
20180607,700,20
20180607,800,34
20180607,900,91
20180607,1000,52
20180607,1100,8
20180607,1200,33
20180607,1300,62
20180607,1400,62
20180607,1500,78
20180607,1600,74
20180607,1700,23
20180607,1800,90
20180607,1900,25
